Date,Price,Open,High,Low,Vol.,Change %
2025-02-10,203.36,199.9,205.97,193.53,3766709.629,1.731
2025-02-10,203.59,199.89,209.05,193.53,4278029.549,1.851
2025-02-10,203.54,201.4,209.05,193.53,4251705.524,1.063
2025-02-10,203.04,201.32,205.97,193.53,3776266.88,0.854
2025-02-10,203.93,198.98,205.97,193.53,3726054.927,2.488
2025-02-10,203.49,199.84,209.05,193.53,4276793.176,1.826
2025-02-10,206.69,198.04,206.94,193.53,3767236.524,4.368
2025-02-10,207.2,196.91,207.78,193.53,3821858.988,5.226
2025-02-10,206.93,198.49,209.05,193.53,3867726.449,4.252
2025-02-10,203.47,199.3,205.97,193.53,3729261.115,2.092
2025-02-10,208.52,197.36,208.52,193.53,3832699.164,5.655
2025-02-10,208.9,196.91,209.04,193.53,3849309.36,6.089
2025-02-10,206.97,198.5,209.05,193.53,3860143.403,4.267
2025-02-10,203.88,200.5,209.05,193.53,4163192.731,1.686
2025-02-10,203.95,201.31,209.05,193.53,4187064.424,1.311
2025-02-10,203.92,201.6,209.05,193.53,4248334.906,1.151
2025-02-10,203.44,200.6,209.05,193.53,4253211.18,1.416
2025-02-10,202.86,200.29,209.05,193.53,4247741.46,1.283
2025-02-10,203.2,200.08,209.05,193.53,4264115.454,1.559
2025-02-10,203.32,199.96,209.05,193.53,4279408.048,1.68
2025-02-10,206.76,198.32,209.05,193.53,3858401.085,4.256
2025-02-10,204.11,200.51,205.97,193.53,3779231.536,1.795
2025-02-10,203.17,200.7,209.05,193.53,4121193.087,1.231
2025-02-10,202.86,201.6,205.97,193.53,3776311.053,0.625
2025-02-10,203.45,201.22,209.05,193.53,4164056.247,1.108
2025-02-10,207.26,197.66,209.05,193.53,3856079.225,4.857
2025-02-10,202.74,201.65,209.05,193.53,4229694.492,0.541
2025-02-10,203.17,201.15,205.97,193.53,3777570.363,1.004
2025-02-10,203.83,201.2,209.05,193.53,4252069.481,1.307
2025-02-10,203.08,201.38,205.97,193.53,3776024.388,0.844
2025-02-10,203.29,200.55,209.05,193.53,4253573.905,1.366
2025-02-10,205.05,198.49,205.97,193.53,3737720.517,3.305
2025-02-10,202.89,200.03,209.05,193.53,4247617.887,1.43
2025-02-10,207.03,198.48,209.05,193.53,3862791.311,4.308
2025-02-10,203.71,199.96,209.05,193.53,4273290.295,1.875
2025-02-10,206.48,197.57,209.05,193.53,3866448.371,4.51
2025-02-10,203.27,199.49,209.05,193.53,4281320.388,1.895
