Date,Price,Open,High,Low,Vol.,Change %,Price (USD),Market Cap (USD),24h Volume (USD),24h Change (%)
2025-02-10,2682.67,2639.35,2685.45,2520.02,517489.32,1.641,,,,
2025-02-10,2659.42,2624.62,2684.55,2520.02,478703.2057,1.326,,,,
2025-02-10,2674.98,2650.13,2685.45,2520.02,510625.3858,0.938,,,,
2025-02-10,2659.8,2628.65,2684.55,2520.02,479435.0205,1.185,,,,
2025-02-10,2681.97,2649.79,2685.45,2520.02,509994.0086,1.214,,,,
2025-02-10,2663.76,2654.0,2684.55,2520.02,498428.5651,0.368,,,,
2025-02-10,2646.82,2639.51,2666.38,2520.02,476839.2034,0.277,,,,
2025-02-10,2668.84,2616.4,2674.63,2520.02,473083.2916,2.004,,,,
2025-02-10,2660.41,2626.27,2684.55,2520.02,479264.1043,1.3,,,,
2025-02-10,2683.99,2637.09,2685.45,2520.02,517917.0954,1.778,,,,
2025-02-10,2665.49,2652.76,2684.55,2520.02,498089.7386,0.48,,,,
2025-02-10,2663.17,2630.58,2684.55,2520.02,479199.922,1.239,,,,
2025-02-10,2651.79,2648.84,2666.38,2520.02,481898.6908,0.111,,,,
2025-02-10,2681.39,2636.04,2689.41,2520.02,520639.5634,1.72,,,,
2025-02-10,2660.49,2629.5,2684.55,2520.02,479280.6145,1.179,,,,
2025-02-10,2669.63,2640.89,2685.45,2520.02,512512.9617,1.088,,,,
2025-02-10,2680.9,2634.45,2689.41,2520.02,520637.1263,1.763,,,,
2025-02-10,2678.82,2618.12,2679.18,2520.02,473889.4232,2.318,,,,
2025-02-10,2674.81,2655.71,2684.55,2520.02,500503.0147,0.719,,,,
2025-02-10,2684.25,2638.88,2685.45,2520.02,517670.5173,1.719,,,,
2025-02-10,2678.63,2641.7,2685.45,2520.02,514937.2061,1.398,,,,
2025-02-10,2679.91,2635.49,2689.41,2520.02,520655.4182,1.685,,,,
2025-02-10,2669.8,2640.0,2685.45,2520.02,512368.2136,1.129,,,,
2025-02-10,2657.96,2629.32,2684.55,2520.02,479745.7685,1.089,,,,
2025-02-10,2663.95,2656.7,2684.55,2520.02,498914.2558,0.273,,,,
2025-02-10,2679.02,2640.0,2685.45,2520.02,517072.3039,1.478,,,,
2025-02-10,2658.22,2653.22,2684.55,2520.02,496599.5392,0.188,,,,
2025-02-10,2678.4,2619.92,2684.55,2520.02,476450.2153,2.232,,,,
2025-02-10,2680.39,2636.45,2689.41,2520.02,520656.3965,1.667,,,,
2025-02-10,2667.95,2633.76,2670.41,2520.02,477843.0878,1.298,,,,
2025-02-10,2679.8,2636.43,2689.41,2520.02,520640.0351,1.645,,,,
2025-02-10,2664.58,2651.76,2684.55,2520.02,507669.6367,0.483,,,,
2025-02-10,2680.91,2635.99,2689.41,2520.02,520594.1053,1.704,,,,
2025-02-10,2680.08,2635.71,2689.41,2520.02,520628.668,1.683,,,,
2025-02-10,2661.9,2626.8,2684.55,2520.02,479006.859,1.336,,,,
2025-02-10,2680.49,2637.0,2689.41,2520.02,520565.945,1.649,,,,
2025-02-10,2644.73,2654.87,2666.38,2520.02,481597.6299,-0.382,,,,
2025-02-10,2678.58,2639.0,2685.45,2520.02,516054.4483,1.5,,,,
2025-02-10,2679.66,2635.67,2689.41,2520.02,520638.278,1.669,,,,
2025-02-10,2677.25,2640.99,2685.45,2520.02,513202.6263,1.373,,,,
2025-02-10,2669.01,2647.02,2684.55,2520.02,507246.1035,0.831,,,,
2025-02-10,2673.49,2626.0,2684.55,2520.02,477189.5188,1.808,,,,
2025-02-10,2639.7,2654.89,2666.38,2520.02,481794.4196,-0.572,,,,
2025-02-10,2670.01,2614.98,2671.37,2520.02,474383.1424,2.104,,,,
2025-02-10,2657.79,2629.5,2684.55,2520.02,479829.6399,1.076,,,,
2025-02-10,2679.52,2636.2,2689.41,2520.02,520637.4267,1.643,,,,
2025-02-10,2679.37,2635.49,2689.41,2520.02,520643.328,1.665,,,,
2025-02-10,2642.19,2654.73,2666.38,2520.02,481594.3004,-0.472,,,,
2025-02-10,2667.17,2622.84,2670.45,2520.02,476600.3912,1.69,,,,
2025-02-10,2667.96,2612.99,2674.63,2520.02,472911.7393,2.104,,,,
2025-02-10,2679.89,2635.0,2689.41,2520.02,520651.5991,1.704,,,,
2025-02-10,2664.5,2630.73,2684.55,2520.02,479175.6612,1.284,,,,
2025-02-10,2656.18,2636.33,2666.38,2520.02,476522.4176,0.753,,,,
2025-02-10,2679.9,2635.5,2689.41,2520.02,520653.8035,1.685,,,,
2025-02-10,2664.99,2628.19,2684.55,2520.02,478953.6843,1.4,,,,
2025-02-10,2640.01,2656.19,2666.38,2520.02,481656.6667,-0.609,,,,
2025-02-10,2680.53,2636.19,2689.41,2520.02,520565.8624,1.682,,,,
2025-02-10,2681.33,2646.53,2685.45,2520.02,511197.2025,1.315,,,,
2025-02-10,2661.41,2654.66,2684.55,2520.02,498288.2844,0.254,,,,
2025-02-10,2682.43,2640.25,2685.45,2520.02,516518.1517,1.598,,,,
2025-02-10,2680.9,2636.0,2689.41,2520.02,520594.1976,1.703,,,,
2025-02-10,2644.45,2654.75,2666.38,2520.02,481622.5963,-0.388,,,,
2025-02-10,2644.72,2641.59,2666.38,2520.02,476718.1269,0.118,,,,
2025-02-10,2651.01,2652.8,2666.38,2520.02,482066.9837,-0.067,,,,
2025-02-10,2671.43,2656.17,2684.55,2520.02,500735.8462,0.575,,,,
2025-02-10,2676.38,2638.97,2685.45,2520.02,516250.1392,1.418,,,,
2025-02-10,2645.73,2639.14,2666.38,2520.02,477029.1782,0.25,,,,
2025-02-10,2658.8,2634.62,2666.38,2520.02,476354.79,0.918,,,,
2025-02-10,2658.37,2624.59,2684.55,2520.02,479320.3201,1.287,,,,
2025-02-10,2675.96,2650.75,2685.45,2520.02,510628.5619,0.951,,,,
2025-02-10,2678.89,2634.98,2685.45,2520.02,517174.4118,1.666,,,,
2025-02-10,2675.93,2644.1,2685.45,2520.02,511348.5629,1.204,,,,
2025-02-10,2681.14,2634.0,2689.41,2520.02,520556.7805,1.79,,,,
2025-02-10,2648.58,2641.89,2666.38,2520.02,476437.2292,0.253,,,,
2025-02-10,2680.9,2634.28,2689.41,2520.02,520558.5751,1.77,,,,
2025-02-10,2660.5,2651.51,2684.55,2520.02,496928.4882,0.339,,,,
2025-02-10,2649.31,2647.22,2666.38,2520.02,481482.8969,0.079,,,,
2025-02-10,2653.28,2642.04,2666.38,2520.02,477070.2816,0.425,,,,
2025-02-10,2660.93,2626.83,2684.55,2520.02,479074.5029,1.298,,,,
2025-02-10,2658.38,2629.62,2684.55,2520.02,479971.5902,1.094,,,,
2025-02-10,2681.07,2633.8,2689.41,2520.02,520559.2959,1.795,,,,
2025-02-10,2674.64,2643.49,2685.45,2520.02,515072.0322,1.178,,,,
2025-02-10,2662.86,2629.07,2684.55,2520.02,479077.7229,1.285,,,,
2025-02-10,2671.07,2642.99,2685.45,2520.02,512162.6495,1.062,,,,
2025-02-10,2674.88,2640.7,2685.45,2520.02,512681.3213,1.294,,,,
2025-02-10,2680.9,2634.49,2689.41,2520.02,520557.2511,1.762,,,,
2025-02-10,2647.13,2653.96,2666.38,2520.02,481636.3687,-0.257,,,,
2025-02-10,2670.16,2638.59,2685.45,2520.02,512552.6195,1.196,,,,
